experiment,model,parameter_name,parameter_value,train_accuracy,val_accuracy,test_accuracy,train_val_gap,train_test_gap,leaf_count,leaf_count_mean,learning_rate,n_estimators,node_count,observed_depth,observed_depth_mean,train_loss,val_loss
knn_k_curve,KNN,k,1,1.0,0.8953229398663697,0.8998903909389843,0.10467706013363032,0.10010960906101574,,,,,,,,,
knn_k_curve,KNN,k,3,0.9561912804813681,0.9161098737936154,0.9181585677749361,0.04008140668775273,0.03803271270643205,,,,,,,,,
knn_k_curve,KNN,k,5,0.9424680671381822,0.9161098737936154,0.9214468396054074,0.026358193344566794,0.0210212275327748,,,,,,,,,
knn_k_curve,KNN,k,7,0.9398289876491079,0.9205642167780252,0.9251004749725977,0.019264770871082693,0.014728512676510208,,,,,,,,,
knn_k_curve,KNN,k,11,0.933178507336641,0.9265033407572383,0.9214468396054074,0.006675166579402703,0.011731667731233575,,,,,,,,,
knn_k_curve,KNN,k,15,0.9305394278475667,0.9265033407572383,0.9240043843624406,0.004036087090328433,0.006535043485126124,,,,,,,,,
knn_k_curve,KNN,k,21,0.9270558429219888,0.9242761692650334,0.9218122031421264,0.002779673656955417,0.005243639779862419,,,,,,,,,
knn_k_curve,KNN,k,31,0.9257890847672332,0.9235337787676318,0.9218122031421264,0.0022553059996014424,0.003976881625106787,,,,,,,,,
id3_depth_curve,ID3,max_depth,2,0.6295788029135437,0.6169265033407573,0.6255023748629887,0.012652299572786463,0.004076428050555081,4,,,,7,2,,,
id3_depth_curve,ID3,max_depth,4,0.8639290615433337,0.852264291017075,0.8520277676287906,0.011664770526258694,0.011901293914543087,16,,,,31,4,,,
id3_depth_curve,ID3,max_depth,6,0.9119603082444844,0.894580549368968,0.8958713920350749,0.01737975887551635,0.016088916209409443,55,,,,109,6,,,
id3_depth_curve,ID3,max_depth,8,0.939617861289982,0.9005196733481812,0.9009864815491414,0.039098187941800866,0.03863137974084063,162,,,,323,8,,,
id3_depth_curve,ID3,max_depth,10,0.9600971181251979,0.9012620638455828,0.8995250274022653,0.05883505427961511,0.06057209072293268,311,,,,621,10,,,
id3_depth_curve,ID3,max_depth,12,0.9756149055209543,0.902746844840386,0.8995250274022653,0.07286806068056828,0.07608987811868906,425,,,,849,12,,,
id3_depth_curve,ID3,max_depth,16,0.9845877757838066,0.8997772828507795,0.8944099378881988,0.08481049293302712,0.09017783789560785,513,,,,1025,16,,,
id3_depth_curve,ID3,max_depth,20,0.9850100285020584,0.9005196733481812,0.8944099378881988,0.08449035515387726,0.09060009061385965,518,,,,1035,18,,,
random_forest_depth_curve,Random Forest,max_depth,2,0.742636968225483,0.7535263548626577,0.742053343076361,-0.010889386637174758,0.0005836251491220246,,4.0,,9,,,2.0,,
random_forest_depth_curve,Random Forest,max_depth,4,0.8877863401245646,0.8916109873793615,0.8838143953233467,-0.00382464725479692,0.003971944801217875,,15.444444444444445,,9,,,4.0,,
random_forest_depth_curve,Random Forest,max_depth,6,0.9227277525599071,0.910913140311804,0.9126781147241505,0.011814612248103096,0.01004963783575663,,53.22222222222222,,9,,,6.0,,
random_forest_depth_curve,Random Forest,max_depth,8,0.9408846194447377,0.9123979213066072,0.917062477164779,0.02848669813813043,0.023822142279958713,,134.22222222222223,,9,,,8.0,,
random_forest_depth_curve,Random Forest,max_depth,10,0.9575636018156867,0.9161098737936154,0.9188892948483741,0.04145372802207126,0.038674306967312555,,238.22222222222223,,9,,,10.0,,
random_forest_depth_curve,Random Forest,max_depth,12,0.9635807030507759,0.9175946547884187,0.9221775666788454,0.04598604826235719,0.04140313637193049,,292.22222222222223,,9,,,12.0,,
random_forest_depth_curve,Random Forest,max_depth,16,0.9689644252084872,0.9153674832962138,0.9247351114358787,0.05359694191227349,0.044229313772608525,,341.44444444444446,,9,,,16.0,,
bp_epoch_curve,BP Neural Network,epoch,1,0.8893697878180091,0.888641425389755,0.8878333942272562,0.0007283624282541368,0.0015363935907529713,,,0.015,,,,,0.39321509239915137,0.3435170841492188
bp_epoch_curve,BP Neural Network,epoch,2,0.9052042647524543,0.9034892353377877,0.9134088417975886,0.0017150294146666134,-0.008204577045134331,,,0.015,,,,,0.3057995092853476,0.2766483893400129
bp_epoch_curve,BP Neural Network,epoch,3,0.9172384672226327,0.9064587973273942,0.9218122031421264,0.010779669895238486,-0.004573735919493727,,,0.015,,,,,0.27792776915874506,0.256084072807687
bp_epoch_curve,BP Neural Network,epoch,4,0.919455293993455,0.9190794357832219,0.9207161125319693,0.0003758582102331154,-0.00126081853851423,,,0.015,,,,,0.2706868842165695,0.25368011767216375
bp_epoch_curve,BP Neural Network,epoch,5,0.9067877124458988,0.9072011878247959,0.9082937522835222,-0.00041347537889702135,-0.0015060398376233186,,,0.015,,,,,0.28354705592258833,0.2746606667385216
bp_epoch_curve,BP Neural Network,epoch,6,0.9171329040430698,0.9175946547884187,0.9163317500913409,-0.00046175074534893223,0.0008011539517288613,,,0.015,,,,,0.27164968649266635,0.21774254911212415
bp_epoch_curve,BP Neural Network,epoch,7,0.9154438931700623,0.9161098737936154,0.9156010230179028,-0.000665980623553164,-0.00015712984784055362,,,0.015,,,,,0.27676192266707317,0.22933439686461818
bp_epoch_curve,BP Neural Network,epoch,8,0.9152327668109363,0.9205642167780252,0.9163317500913409,-0.005331449967088897,-0.0010989832804045863,,,0.015,,,,,0.2827935511308702,0.2500931929960814
bp_epoch_curve,BP Neural Network,epoch,9,0.9255779584081073,0.9205642167780252,0.9225429302155644,0.005013741630082058,0.0030350281925428657,,,0.015,,,,,0.23009960329846815,0.2249391438432529
bp_epoch_curve,BP Neural Network,epoch,10,0.9136493191174918,0.9123979213066072,0.917427840701498,0.0012513978108845691,-0.003778521584006156,,,0.01275,,,,,0.26770966025918547,0.23062583505840603
bp_epoch_curve,BP Neural Network,epoch,11,0.9217776839438404,0.9294729027468448,0.9199853854585313,-0.007695218803004389,0.0017922984853091517,,,0.01275,,,,,0.23579006507843642,0.22530586030999408
bp_epoch_curve,BP Neural Network,epoch,12,0.9202997994299589,0.9161098737936154,0.9196200219218122,0.004189925636343461,0.0006797775081466284,,,0.01275,,,,,0.273688876529055,0.2293332927700873
bp_epoch_curve,BP Neural Network,epoch,13,0.9204053626095218,0.9220489977728286,0.9225429302155644,-0.0016436351633067892,-0.0021375676060426674,,,0.01275,,,,,0.2134661126584052,0.21367637265219339
bp_epoch_curve,BP Neural Network,epoch,14,0.9235722579964109,0.9220489977728286,0.9232736572890026,0.00152326022358229,0.0002986007074082808,,,0.01275,,,,,0.26231892291238845,0.21211349565550058
bp_epoch_curve,BP Neural Network,epoch,15,0.9209331785073367,0.9146250927988122,0.9192546583850931,0.00630808570852448,0.0016785201222435653,,,0.01275,,,,,0.24234478020158498,0.21904968114392573
bp_epoch_curve,BP Neural Network,epoch,16,0.9244167634329146,0.9294729027468448,0.9258312020460358,-0.00505613931393023,-0.0014144386131211828,,,0.01275,,,,,0.21077817912069605,0.20879336496180032
bp_epoch_curve,BP Neural Network,epoch,17,0.9215665575847144,0.9190794357832219,0.928388746803069,0.0024871218014924645,-0.006822189218354646,,,0.01275,,,,,0.21370629005062078,0.212061162186066
bp_epoch_curve,BP Neural Network,epoch,18,0.9209331785073367,0.9190794357832219,0.9218122031421264,0.0018537427241147597,-0.0008790246347897268,,,0.01275,,,,,0.21198271046386852,0.2186074217191975
bp_epoch_curve,BP Neural Network,epoch,19,0.9225166262007811,0.9250185597624351,0.9232736572890026,-0.0025019335616539573,-0.0007570310882214493,,,0.01275,,,,,0.21164313741550814,0.2051276791376894
bp_epoch_curve,BP Neural Network,epoch,20,0.9218832471234033,0.9175946547884187,0.9214468396054074,0.004288592334984576,0.00043640751799589594,,,0.010837499999999998,,,,,0.22588032284649512,0.21101888240321826
bp_epoch_curve,BP Neural Network,epoch,21,0.9238889475350998,0.9265033407572383,0.9221775666788454,-0.0026143932221385224,0.0017113808562543298,,,0.010837499999999998,,,,,0.20640604286340847,0.20757286089029925
bp_epoch_curve,BP Neural Network,epoch,22,0.9253668320489813,0.9272457312546399,0.9240043843624406,-0.0018788992056586462,0.001362447686540702,,,0.010837499999999998,,,,,0.200955858123238,0.20338676573052206
bp_epoch_curve,BP Neural Network,epoch,23,0.9209331785073367,0.9146250927988122,0.9188892948483741,0.00630808570852448,0.0020438836589625753,,,0.010837499999999998,,,,,0.21101399160608847,0.21196239297842961
bp_epoch_curve,BP Neural Network,epoch,24,0.9156550195291883,0.9175946547884187,0.9159663865546218,-0.0019396352592304655,-0.000311367025433551,,,0.010837499999999998,,,,,0.21803073374576884,0.22033603129938983
bp_epoch_curve,BP Neural Network,epoch,25,0.9213554312255885,0.9220489977728286,0.9210814760686884,-0.0006935665472400654,0.0002739551569000964,,,0.010837499999999998,,,,,0.23598311557036447,0.2106884227476083
bp_epoch_curve,BP Neural Network,epoch,26,0.9213554312255885,0.9175946547884187,0.9236390208257216,0.003760776437169766,-0.0022835896001330847,,,0.010837499999999998,,,,,0.2256644167263212,0.21166988571026787
bp_epoch_curve,BP Neural Network,epoch,27,0.926316900665048,0.9287305122494433,0.9261965655827549,-0.0024136115843952366,0.00012033508229314371,,,0.010837499999999998,,,,,0.20545760860619838,0.2042919655239944
bp_epoch_curve,BP Neural Network,epoch,28,0.9265280270241739,0.9257609502598366,0.92802338326635,0.0007670767643372933,-0.0014953562421761157,,,0.010837499999999998,,,,,0.19950783266202557,0.20781268888155646
bp_epoch_curve,BP Neural Network,epoch,29,0.9314894964636334,0.9265033407572383,0.92802338326635,0.004986155706395157,0.0034661131972834047,,,0.010837499999999998,,,,,0.20763630347669831,0.21355870245544728
bp_epoch_curve,BP Neural Network,epoch,30,0.9268447165628628,0.9257609502598366,0.928754110339788,0.0010837663030262012,-0.0019093937769252278,,,0.009211874999999998,,,,,0.2037130458200438,0.20584280393507584
